SYMBOLE;CLE;FAMIL;PLAN;REPERE;DESIGN;O_G;PRIX_UNIT;U_STOCK
00980633;*;21465;204904;000105;ANTIBALANCANT     204904 R.105;ZZ;;******
00980634;*;21465;204904;000106;ANTIBALANCANT     204904 R.106;ZZ;;******
00980635;*;21465;204904;000107;ANTIBALANCANT     204904 R.107;ZZ;;******
00980636;*;21465;204904;000108;ANTIBALANCANT     204904 R.108;ZZ;;******
00980637;*;21465;204904;000109;ANTIBALANCANT     204904 R.109;ZZ;;******
00980638;*;21465;204904;000110;ANTIBALANCANT     204904 R.110;ZZ;;******
00980639;*;21465;204904;000111;ANTIBALANCANT     204904 R.111;ZZ;;******
00980640;*;21465;204904;000112;ANTIBALANCANT     204904 R.112;ZZ;;******
00980641;*;21465;204904;000113;ANTIBALANCANT     204904 R.113;ZZ;;******
00980642;*;21465;203525;000101;ATTACHE A CARDAN  203525 R.101;ZZ;;******
00980643;*;21465;203203;203210;SUSPENS D'ANTI 203203 R.203210;ZZ;;******
00980644;*;21465;004030;000000;PINCE 13,5<D<18 ENS.      4030;ZZ;;******
00980645;*;21465;203525;000102;ATTACHE A CARDAN  203525 R.102;ZZ;;******
00981101;*;21466;205082;000000;BLOC DE FIXATION        205082;ZZ;;******
00981111;*;21466;205125;000101;PEND.CUPRO ALU/INOX 6014 R.101;ZZ;;******
00981112;*;21466;205125;000102;PEND.CUPRO ALU/INOX 6014 R.102;ZZ;;******
00981301;*;21467;006510;000000;GRIFFE DE CONNEXION       6510;ZZ;;******
00981302;*;21467;006516;000000;GRIFFE DE CONNEXION       6516;ZZ;;******
00981303;*;21467;006555;000000;GRIFFE DE CONNEXION       6555;ZZ;;******
00981304;*;21467;006790;000000;PIECE DE CROISEMENT       6790;ZZ;;******
00981305;*;21467;006825;000000;AGRAFE DE FIXATION        6825;ZZ;;******
00981306;*;21467;206526;000000;GRIFFE DE CONNEXION     206526;ZZ;;******
00981307;*;21467;206572;000000;GRIFFE DE CONNEXION     206572;ZZ;;******
00981308;*;21467;006978;000000;AGRAFE DE FIXATION        6978;ZZ;;******
00981309;*;21467;006538;000101;PROTECTION ISOLANTE 6538 R.101;ZZ;;******
00981310;*;21467;006538;000102;PROTECTION ISOLANTE 6538 R.102;ZZ;;******
00981311;*;21467;006863;000000;GRIFFE DE CONNEXION       6863;ZZ;;******
00981312;*;21467;006540;000000;GRIFFE DE CONNEXION       6540;ZZ;;******
00981313;*;21467;006605;000201;GRIFFE DE CONNEXION 6605 R.201;ZZ;;******
00981314;*;21467;006605;000202;GRIFFE DE CONNEXION 6605 R.202;ZZ;;******
00981315;*;21467;006605;000203;GRIFFE DE CONNEXION 6605 R.203;ZZ;;******
00981316;*;21467;006605;000204;GRIFFE DE CONNEXION 6605 R.204;ZZ;;******
00981317;*;21467;006605;000205;GRIFFE DE CONNEXION 6605 R.205;ZZ;;******
00981318;*;21467;006605;000206;GRIFFE DE CONNEXION 6605 R.206;ZZ;;******
00981319;*;21467;006605;000207;GRIFFE DE CONNEXION 6605 R.207;ZZ;;******
00981320;*;21467;006605;000208;GRIFFE DE CONNEXION 6605 R.208;ZZ;;******
00981321;*;21467;006605;000301;GRIFFE DE CONNEXION 6605 R.301;ZZ;;******
00981323;*;21467;006605;000303;GRIFFE DE CONNEXION 6605 R.303;ZZ;;******
00981324;*;21467;006605;000304;GRIFFE DE CONNEXION 6605 R.304;ZZ;;******
00981326;*;21467;006605;000401;GRIFFE DE CONNEXION 6605 R.401;ZZ;;******
00981327;*;21467;006605;000501;GRIFFE DE CONNEXION 6605 R.501;ZZ;;******
00981328;*;21467;006539;000000;GRIFFE DE CONNEXION       6539;ZZ;;******
00981329;*;21467;006514;000000;GRIFFE DE CONNEXION       6514;ZZ;;******
00981330;*;21467;006518;000000;GRIFFE DE CONNEXION       6518;ZZ;;******
00981331;*;21467;006520;000000;GRIFFE DE CONNEXION       6520;ZZ;;******
00981332;*;21467;006525;000000;GRIFFE DE CONNEXION       6525;ZZ;;******
00981333;*;21467;006885;000000;GRIFFE DE CONNEXION       6885;ZZ;;******
00981334;*;21467;006896;000000;GRIFFE DE CONNEXION       6896;ZZ;;******
00981335;*;21467;006828;000101;AGRAFE DE FIXATION  6828 R.101;ZZ;;******
00981336;*;21467;006828;000102;AGRAFE DE FIXATION  6828 R.102;ZZ;;******
00981337;*;21467;206693;000000;GRIFFE DE CONNEXION     206693;ZZ;;******
00981342;*;21467;006605;000502;GRIFFE DE CONNEXION 6605 R.502;ZZ;;******
00981343;*;21467;006605;000503;GRIFFE DE CONNEXION 6605 R.503;ZZ;;******
00981344;*;21467;006605;000504;GRIFFE DE CONNEXION 6605 R.504;ZZ;;******
00981345;*;21467;006605;000505;GRIFFE DE CONNEXION 6605 R.505;ZZ;;******
00981346;*;21467;006605;000506;GRIFFE DE CONNEXION 6605 R.506;ZZ;;******
00981351;*;21467;006605;000601;GRIFFE DE CONNEXION 6605 R.601;ZZ;;******
00981352;*;21467;006605;000602;GRIFFE DE CONNEXION 6605 R.602;ZZ;;******
00981353;*;21467;006605;000603;GRIFFE DE CONNEXION 6605 R.603;ZZ;;******
00981354;*;21467;006605;000604;GRIFFE DE CONNEXION 6605 R.604;ZZ;;******
00981355;*;21467;006605;000605;GRIFFE DE CONNEXION 6605 R.605;ZZ;;******
00981356;*;21467;006605;000606;GRIFFE DE CONNEXION 6605 R.606;ZZ;;******
00981357;*;21467;006605;000607;GRIFFE DE CONNEXION 6605 R.607;ZZ;;******
00981360;*;21467;006605;000705;GRIFFE DE CONNEXION 6605 R.705;ZZ;;******
00981361;*;21467;006605;000706;GRIFFE DE CONNEXION 6605 R.706;ZZ;;******
00981362;*;21467;006605;000707;GRIFFE DE CONNEXION 6605 R.707;ZZ;;******
00981363;*;21467;006605;000708;GRIFFE DE CONNEXION 6605 R.708;ZZ;;******
00981370;*;21467;006659;000000;GRIFFE DE CONNEXION;ZZ;;******
00982301;*;21468;207644;000101;CONTREPOIDS D'A.T 207644 R.101;ZZ;;******
00982302;*;21468;207644;000102;CONTREPOIDS D'A.T 207644 R.102;ZZ;;******
00982303;*;21468;207644;000103;CONTREPOIDS D'A.T 207644 R.103;ZZ;;******
00982304;*;21468;207644;000104;CONTREPOIDS D'A.T 207644 R.104;ZZ;;******
00982305;*;21468;207644;000105;CONTREPOIDS D'A.T 207644 R.105;ZZ;;******
00982306;*;21468;207644;000106;CONTREPOIDS D'A.T 207644 R.106;ZZ;;******
00982307;*;21468;207644;000107;CONTREPOIDS D'A.T 207644 R.107;ZZ;;******
00982308;*;21468;207644;000108;CONTREPOIDS D'A.T 207644 R.108;ZZ;;******
00982309;*;21468;207644;000109;CONTREPOIDS D'A.T 207644 R.109;ZZ;;******
00982310;*;21468;207644;000110;CONTREPOIDS D'A.T 207644 R.110;ZZ;;******
00982311;*;21468;207644;000111;CONTREPOIDS D'A.T 207644 R.111;ZZ;;******
00982312;*;21468;207644;000112;CONTREPOIDS D'A.T 207644 R.112;ZZ;;******
00982401;*;21469;008900;000101;ATTACHE CDP SUR ISO 8900 R.101;ZZ;;******
00982402;*;21469;008900;000102;ATTACHE CDP SUR ISO 8900 R.102;ZZ;;******
00982403;*;21469;008900;000103;ATTACHE CDP SUR ISO 8900 R.103;ZZ;;******
00983001;*;21469;008245;000000;SERRE-CABLES A SEMELLE    8245;ZZ;;******
00983003;*;21469;008247;000000;SERRE-CABLES A SEMELLE    8247;ZZ;;******
00983009;*;21469;208088;208089;SERRE CABLE 3 ETRIERS R.208089;ZZ;;******
00983010;*;21469;208088;208090;SERRE CABLE 3 ETRIERS R.208090;ZZ;;******
00983014;*;21469;208088;208094;SERRE CABLE 3 ETRIERS R.208094;ZZ;;******
00983103;*;21435;335156;000501;CADENASSEMENT ENS.335156 R.501;ZZ;;******
00983104;*;21435;335156;000601;CADENASSEMENT ENS.335156 R.601;ZZ;;******
00983105;*;21435;335156;000701;CADENASSEMENT ENS.       R.701;ZZ;;******
00983106;*;21435;335156;000702;CADENASSEMENT ENS.       R.702;ZZ;;******
00983107;*;21435;335156;000801;CADENASSEMENT ENS.       R.801;ZZ;;******
00983110;*;21470;010730;000000;LEVIER DE MANOEUVRE ENS. 10730;ZZ;;******
00983201;*;21471;211403;000000;GRIFFE DE REGLAGE D'IS  211403;ZZ;;******
00983202;*;21471;211601;000000;GRIFFE ENTRETOISE       211601;ZZ;;******
00983203;*;21471;211661;000000;MONTAGE FER. SUSP. ENS. 211661;ZZ;;******
00983502;*;21474;014003;000000;NUMEROTAGE DES I.S.      14003;ZZ;;******
00983503;*;21474;014700;000000;MONTAGE PLAQUE DM        14700;ZZ;;******
00983504;*;21474;014710;000000;MONTAGE PLAQUE DM        14710;ZZ;;******
00983505;*;21474;014020;000000;NUMEROTAGE DE SUSPENSION 14020;ZZ;;******
00983506;*;21474;014030;000000;REPERAGE VOIES SOUS PRO  14030;ZZ;;******
00983507;*;21474;014410;000101;MONT SIGNAL FIN CATEN.   R.101;ZZ;;******
00983508;*;21474;014410;000102;MONT SIGNAL FIN CATEN.   R.102;ZZ;;******
00983601;*;21476;215603;000101;PANNE D'EXTREMITE 215603 R.101;ZZ;;******
00983602;*;21476;215603;000102;PANNE INTERMED.   215603 R.102;ZZ;;******
00983611;*;21476;215706;000101;COLLIER TUBE D=36 215706 R.101;ZZ;;******
00983612;*;21476;215640;000201;SUSPENSION CDP   215640 R.201;ZZ;;******
00983613;*;21476;215640;000301;SUSPENSION CDP   215640 R.301;ZZ;;******
00983614;*;21476;215640;000302;SUSPENSION CDP   215640 R.302;ZZ;;******
00983615;*;21476;215640;000303;SUSPENSION CDP   215640 R.303;ZZ;;******
00983619;*;21476;215640;000501;SUSPENSION CDP   215640 R.501;ZZ;;******
00983620;*;21476;215640;000601;SUSPENSION CDP   215640 R.601;ZZ;;******
00983622;*;21476;215640;000701;SUSPENSION CDP   215640 R.701;ZZ;;******
00983624;*;21476;215640;000801;SUSPENSION CDP   215640 R.801;ZZ;;******
00983626;*;21476;215640;000901;SUSPENSION CDP   215640 R.901;ZZ;;******
00983627;*;21476;215640;000902;SUSPENSION CDP   215640 R.902;ZZ;;******
00983628;*;21476;215640;001001;SUSPENSION CDP   215640 R.1001;ZZ;;******
00983629;*;21476;215640;000903;SUSPENSION CDP   215640 R.903;ZZ;;******
00983630;*;21476;215640;000904;SUSPENSION CDP   215640 R.904;ZZ;;******
00983631;*;21476;215640;000905;SUSPENSION CDP   215640 R.905;VZ;;******
00983632;*;21476;215640;000906;SUSPENSION CDP   215640 R.906;VZ;;******
00983633;*;21476;215640;000202;SUSPENSION CDP    215640 R.202;ZZ;;******
00983634;*;21476;215640;001101;SUSPENSION CDP   215640 R.1101;ZZ;;******
00983635;*;21476;215640;001102;SUSPENSION CDP   215640 R.1102;ZZ;;******
00983643;*;21476;215706;000102;COLLIER TUBE D=36 215706 R.102;ZZ;;******
00983650;*;21433;333101;000000;PRINCIPE RACCORD. CdPAO 333101;ZZ;;******
00983671;*;21408;308002;000101;DISPO. ANTICHUTE ENS.    R.101;ZZ;;******
00983672;*;21408;308002;000102;DISPO. ANTICHUTE ENS.    R.102;ZZ;;******
00984001;*;21481;222675;000000;ATTACHE HAUBAN DE CONS. 222675;ZZ;;******
00984002;*;21481;222682;000101;ATT 2 HAUB E=1,00 222682 R.101;ZZ;;******
00984003;*;21481;222682;000102;ATT 2 HAUB E=1,00 222682 R.102;ZZ;;******
00984004;*;21481;222682;000103;ATT 2 HAUB E=1,00 222682 R.103;ZZ;;******
00984005;*;21481;222682;000104;ATT 3 HAUB E=1,00 222682 R.104;ZZ;;******
00984006;*;21481;222682;000105;ATT 3 HAUB E=1,00 222682 R.105;ZZ;;******
00984007;*;21481;222682;000106;ATT 3 HAUB E=1,00 222682 R.106;ZZ;;******
00984008;*;21481;222683;000101;ATT 2 HAUB E=1,60 222683 R.101;ZZ;;******
00984009;*;21481;222683;000102;ATT 2 HAUB E=1,60 222683 R.102;ZZ;;******
00984010;*;21481;222683;000103;ATT 2 HAUB E=1,60 222683 R.103;ZZ;;******
00984011;*;21481;222683;000104;ATT 3 HAUB E=1,60 222683 R.104;ZZ;;******
00984012;*;21481;222683;000105;ATT 3 HAUB E=1,60 222683 R.105;ZZ;;******
00984013;*;21481;222683;000106;ATT 3 HAUB E=1,60 222683 R.106;ZZ;;******
00984014;*;21481;222719;000101;ATT REGL 1 HAUBAN 222719 R.101;ZZ;;******
00984015;*;21481;222719;000102;ATT REGL 1 HAUBAN 222719 R.102;ZZ;;******
00984016;*;21481;222719;000103;ATT REGL 1 HAUBAN 222719 R.103;ZZ;;******
00984017;*;21481;222806;000101;ATT 2 OU 3 HAUB   222806 R.101;ZZ;;******
00984018;*;21481;222806;000102;ATT 2 OU 3 HAUB   222806 R.102;ZZ;;******
00984019;*;21481;222806;000103;ATT 2 OU 3 HAUB   222806 R.103;ZZ;;******
00984020;*;21481;222806;000104;ATT 2 OU 3 HAUB   222806 R.104;ZZ;;******
00984021;*;21481;222806;000105;ATT 2 OU 3 HAUB   222806 R.105;ZZ;;******
00984022;*;21481;222806;000106;ATT 2 OU 3 HAUB   222806 R.106;ZZ;;******
00984023;*;21481;222806;000107;ATT 2 OU 3 HAUB   222806 R.107;ZZ;;******
00984024;*;21481;222806;000108;ATT 2 OU 3 HAUB   222806 R.108;ZZ;;******
00984501;*;21482;225040;225041;PIED POUR CONS 225040 R.225041;ZZ;;******
00984502;*;21482;225040;225043;PIED POUR CONS 225040 R.225043;ZZ;;******
00984503;*;21482;025750;000000;ATTACHE DU HAUBAN        25750;ZZ;;******
00984504;*;21482;225075;000101;PIED CONSOLE (HJ) 225075 R.101;ZZ;;******
00984505;*;21482;225075;000102;PIED CONSOLE (PR) 225075 R.102;ZZ;;******
00984506;*;21482;225125;000101;ENSEMBLE TRAVERSE 225125 R.101;ZZ;;******
00984507;*;21482;225125;000102;ENSEMBLE TRAVERSE 225125 R.102;ZZ;;******
00984508;*;21482;225126;000101;ENSEMBLE TRAVERSE 225126 R.101;ZZ;;******
00984509;*;21482;225126;000102;ENSEMBLE TRAVERSE 225126 R.102;ZZ;;******
00984510;*;21482;225127;000101;ATT 2 CONS E=1,60 225127 R.101;ZZ;;******
00984511;*;21482;225127;000102;ATT 2 CONS E=1,60 225127 R.102;ZZ;;******
00984512;*;21482;225127;000103;ATT 2 CONS E=1,60 225127 R.103;ZZ;;******
00984513;*;21482;225127;000104;ATT 3 CONS E=1,60 225127 R.104;ZZ;;******
00984514;*;21482;225127;000105;ATT 3 CONS E=1,60 225127 R.105;ZZ;;******
00984515;*;21482;225127;000106;ATT 3 CONS E=1,60 225127 R.106;ZZ;;******
00984516;*;21482;225128;000101;ATT 2 CONS E=1,00 225128 R.101;ZZ;;******
00984517;*;21482;225128;000102;ATT 2 CONS E=1,00 225128 R.102;ZZ;;******
00984518;*;21482;225128;000103;ATT 2 CONS E=1,00 225128 R.103;ZZ;;******
00984519;*;21482;225128;000104;ATT 3 CONS E=1,00 225128 R.104;ZZ;;******
00984520;*;21482;225128;000105;ATT 3 CONS E=1,00 225128 R.105;ZZ;;******
00984521;*;21482;225128;000106;ATT 3 CONS E=1,00 225128 R.106;ZZ;;******
00984522;*;21482;225283;000101;ATT 2 OU 3 CONS.  225283 R.101;ZZ;;******
00984523;*;21482;225283;000102;ATT 2 OU 3 CONS.  225283 R.102;ZZ;;******
00984524;*;21482;225283;000103;ATT 2 OU 3 CONS.  225283 R.103;ZZ;;******
00984525;*;21482;225283;000104;ATT 2 OU 3 CONS.  225283 R.104;ZZ;;******
00984526;*;21482;225283;000105;ATT 2 OU 3 CONS.  225283 R.105;ZZ;;******
00984527;*;21482;225283;000106;ATT 2 OU 3 CONS.  225283 R.106;ZZ;;******
00984528;*;21482;225283;000107;ATT 2 OU 3 CONS.  225283 R.107;ZZ;;******
00984529;*;21482;225283;000108;ATT 2 OU 3 CONS.  225283 R.108;ZZ;;******
00984530;*;21482;225075;000103;PIED CONSOLE (H)  225075 R.103;ZZ;;******
00984531;*;21482;225075;000104;PIED CONSOLE (H)  225075 R.104;ZZ;;******
00984701;*;21482;226130;000101;ATTACHE DU HAUBAN 226130 R.101;ZZ;;******
00984702;*;21482;226130;000102;ATTACHE DU HAUBAN 226130 R.102;ZZ;;******
00984901;*;21482;226585;000000;MONT D'UNE POUTRE DE PR 226585;ZZ;;******
00984902;*;21482;226590;000000;MONT D'UNE POUTRE DE PR 226590;ZZ;;******
00984903;*;21482;226595;000000;MONT D'UNE POUTRE DE PR 226595;ZZ;;******
00985001;*;21482;227281;000101;CONSOLE ISOLEE    227281 R.101;ZZ;;******
00985002;*;21482;227281;000102;CONSOLE ISOLEE    227281 R.102;ZZ;;******
00985003;*;21482;227281;000103;CONSOLE ISOLEE    227281 R.103;ZZ;;******
00985004;*;21482;227281;000104;CONSOLE ISOLEE    227281 R.104;ZZ;;******
00985005;*;21482;227281;000105;CONSOLE ISOLEE    227281 R.105;ZZ;;******
00985006;*;21482;227281;000106;CONSOLE ISOLEE    227281 R.106;ZZ;;******
00985007;*;21482;227281;000107;CONSOLE ISOLEE    227281 R.107;ZZ;;******
00985008;*;21482;227281;000108;CONSOLE ISOLEE    227281 R.108;ZZ;;******
00985009;*;21482;227281;000109;CONSOLE ISOLEE    227281 R.109;ZZ;;******
00985010;*;21482;227281;000110;CONSOLE ISOLEE    227281 R.110;ZZ;;******
00985011;*;21482;227281;000111;CONSOLE ISOLEE    227281 R.111;ZZ;;******
00985012;*;21482;227281;000112;CONSOLE ISOLEE    227281 R.112;ZZ;;******
00985013;*;21482;227281;000113;CONSOLE ISOLEE    227281 R.113;ZZ;;******
00985014;*;21482;227281;000114;CONSOLE ISOLEE    227281 R.114;ZZ;;******
00985015;*;21482;227281;000301;CONSOLE ISOLEE    227281 R.301;ZZ;;******
00985016;*;21482;227281;000302;CONSOLE ISOLEE    227281 R.302;ZZ;;******
00985017;*;21482;227281;000303;CONSOLE ISOLEE    227281 R.303;ZZ;;******
00985018;*;21482;227281;000304;CONSOLE ISOLEE    227281 R.304;ZZ;;******
00985019;*;21482;227281;000305;CONSOLE ISOLEE    227281 R.305;ZZ;;******
00985020;*;21482;227281;000306;CONSOLE ISOLEE    227281 R.306;ZZ;;******
00985021;*;21482;227281;000307;CONSOLE ISOLEE    227281 R.307;ZZ;;******
00985022;*;21482;227281;000308;CONSOLE ISOLEE    227281 R.308;ZZ;;******
00985023;*;21482;227281;000309;CONSOLE ISOLEE    227281 R.309;ZZ;;******
00985024;*;21482;227281;000310;CONSOLE ISOLEE    227281 R.310;ZZ;;******
00985025;*;21482;227281;000311;CONSOLE ISOLEE    227281 R.311;ZZ;;******
00985026;*;21482;227281;000312;CONSOLE ISOLEE    227281 R.312;ZZ;;******
00985027;*;21482;227281;000313;CONSOLE ISOLEE    227281 R.313;ZZ;;******
00985028;*;21482;227281;000314;CONSOLE ISOLEE    227281 R.314;ZZ;;******
00985029;*;21482;227281;000281;CONSOLE ISOLEE    227281 R.281;ZZ;;******
00985030;*;21482;227281;000282;CONSOLE ISOLEE    227281 R.282;ZZ;;******
00985031;*;21482;227281;000283;CONSOLE ISOLEE    227281 R.283;ZZ;;******
00985032;*;21482;227281;000284;CONSOLE ISOLEE    227281 R.284;ZZ;;******
00985033;*;21482;227281;000285;CONSOLE ISOLEE    227281 R.285;ZZ;;******
00985034;*;21482;227281;000286;CONSOLE ISOLEE    227281 R.286;ZZ;;******
00985035;*;21482;227281;000287;CONSOLE ISOLEE    227281 R.287;ZZ;;******
00985036;*;21482;227281;000288;CONSOLE ISOLEE    227281 R.288;ZZ;;******
00985037;*;21482;227281;000289;CONSOLE ISOLEE    227281 R.289;ZZ;;******
00985038;*;21482;227281;000290;CONSOLE ISOLEE    227281 R.290;ZZ;;******
00985039;*;21482;227281;000291;CONSOLE ISOLEE    227281 R.291;ZZ;;******
00985040;*;21482;227281;000292;CONSOLE ISOLEE    227281 R.292;ZZ;;******
00985041;*;21482;227281;000293;CONSOLE ISOLEE    227281 R.293;ZZ;;******
00985042;*;21482;227281;000294;CONSOLE ISOLEE    227281 R.294;ZZ;;******
00985401;*;21483;230110;000101;MONT D'UNE CHAISE 230110 R.101;ZZ;;******
00985402;*;21483;230110;000102;MONT D'UNE CHAISE 230110 R.102;ZZ;;******
00985403;*;21483;230110;000103;MONT D'UNE CHAISE 230110 R.103;ZZ;;******
00985404;*;21483;230110;000104;MONT D'UNE CHAISE 230110 R.104;ZZ;;******
00985405;*;21483;230110;000105;MONT D'UNE CHAISE 230110 R.105;ZZ;;******
00985406;*;21483;230110;000106;MONT D'UNE CHAISE 230110 R.106;ZZ;;******
00985407;*;21483;230110;000107;MONT D'UNE CHAISE 230110 R.107;ZZ;;******
00985408;*;21483;230110;000110;MONT D'UNE CHAISE 230110 R.110;ZZ;;******
00985409;*;21483;230110;000111;MONT D'UNE CHAISE 230110 R.111;ZZ;;******
00985410;*;21483;230110;000112;MONT D'UNE CHAISE 230110 R.112;ZZ;;******
00985411;*;21483;230110;000113;MONT D'UNE CHAISE 230110 R.113;ZZ;;******
00985412;*;21483;230110;000114;MONT D'UNE CHAISE 230110 R.114;ZZ;;******
00985413;*;21483;230110;000115;MONT D'UNE CHAISE 230110 R.115;ZZ;;******
00985414;*;21483;230110;000116;MONT D'UNE CHAISE 230110 R.116;ZZ;;******
00985415;*;21483;230110;000120;MONT D'UNE CHAISE 230110 R.120;ZZ;;******
00985416;*;21483;230110;000121;MONT D'UNE CHAISE 230110 R.121;ZZ;;******
00985417;*;21483;230110;000122;MONT D'UNE CHAISE 230110 R.122;ZZ;;******
00985418;*;21483;230110;000123;MONT D'UNE CHAISE 230110 R.123;ZZ;;******
00985419;*;21483;230110;000124;MONT D'UNE CHAISE 230110 R.124;ZZ;;******
00985420;*;21483;230110;000125;MONT D'UNE CHAISE 230110 R.125;ZZ;;******
00985421;*;21483;230110;000126;MONT D'UNE CHAISE 230110 R.126;ZZ;;******
00985422;*;21483;230111;000101;MONT DE 2 CHAISES 230111 R.101;ZZ;;******
00985423;*;21483;230111;000102;MONT DE 2 CHAISES 230111 R.102;ZZ;;******
00985424;*;21483;230111;000103;MONT DE 2 CHAISES 230111 R.103;ZZ;;******
00985425;*;21483;230111;000104;MONT DE 2 CHAISES 230111 R.104;ZZ;;******
00985426;*;21483;230111;000105;MONT DE 2 CHAISES 230111 R.105;ZZ;;******
00985427;*;21483;230111;000106;MONT DE 2 CHAISES 230111 R.106;ZZ;;******
00985428;*;21483;230111;000107;MONT DE 2 CHAISES 230111 R.107;ZZ;;******
00985429;*;21483;230111;000110;MONT DE 2 CHAISES 230111 R.110;ZZ;;******
00985430;*;21483;230111;000111;MONT DE 2 CHAISES 230111 R.111;ZZ;;******
00985431;*;21483;230111;000112;MONT DE 2 CHAISES 230111 R.112;ZZ;;******
00985432;*;21483;230111;000113;MONT DE 2 CHAISES 230111 R.113;ZZ;;******
00985433;*;21483;230111;000114;MONT DE 2 CHAISES 230111 R.114;ZZ;;******
00985434;*;21483;230111;000115;MONT DE 2 CHAISES 230111 R.115;ZZ;;******
00985435;*;21483;230111;000116;MONT DE 2 CHAISES 230111 R.116;ZZ;;******
00985436;*;21483;230111;000120;MONT DE 2 CHAISES 230111 R.120;ZZ;;******
00985437;*;21483;230111;000121;MONT DE 2 CHAISES 230111 R.121;ZZ;;******
00985438;*;21483;230111;000122;MONT DE 2 CHAISES 230111 R.122;ZZ;;******
00985439;*;21483;230111;000123;MONT DE 2 CHAISES 230111 R.123;ZZ;;******
00985440;*;21483;230111;000124;MONT DE 2 CHAISES 230111 R.124;ZZ;;******
00985441;*;21483;230111;000125;MONT DE 2 CHAISES 230111 R.125;ZZ;;******
00985442;*;21483;230111;000126;MONT DE 2 CHAISES 230111 R.126;ZZ;;******
00985443;*;21483;230111;000130;MONT DE 2 CHAISES 230111 R.130;ZZ;;******
00985444;*;21483;230111;000131;MONT DE 2 CHAISES 230111 R.131;ZZ;;******
00985445;*;21483;230111;000132;MONT DE 2 CHAISES 230111 R.132;ZZ;;******
00985446;*;21483;230111;000133;MONT DE 2 CHAISES 230111 R.133;ZZ;;******
00985447;*;21483;230111;000134;MONT DE 2 CHAISES 230111 R.134;ZZ;;******
00985448;*;21483;230111;000135;MONT DE 2 CHAISES 230111 R.135;ZZ;;******
00985449;*;21483;230111;000136;MONT DE 2 CHAISES 230111 R.136;ZZ;;******
00985450;*;21483;230111;000140;MONT DE 2 CHAISES 230111 R.140;ZZ;;******
00985451;*;21483;230111;000141;MONT DE 2 CHAISES 230111 R.141;ZZ;;******
00985452;*;21483;230111;000142;MONT DE 2 CHAISES 230111 R.142;ZZ;;******
00985453;*;21483;230111;000143;MONT DE 2 CHAISES 230111 R.143;ZZ;;******
00985454;*;21483;230111;000144;MONT DE 2 CHAISES 230111 R.144;ZZ;;******
00985455;*;21483;230111;000145;MONT DE 2 CHAISES 230111 R.145;ZZ;;******
00985456;*;21483;230111;000146;MONT DE 2 CHAISES 230111 R.146;ZZ;;******
00985457;*;21483;230111;000150;MONT DE 2 CHAISES 230111 R.150;ZZ;;******
